               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.043227,            0.017429,                   0,             0.68302,             0.86802,             0.83216,             0.47104,            0.032712,            0.015998,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.039447,             0.02043,                   0,             0.89567,             0.95877,             0.95039,             0.53987,            0.034179,             0.01568,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.044343,            0.018395,                   0,              0.8377,             0.96954,             0.92057,             0.42369,            0.038063,            0.015997,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.042619,            0.017109,                   0,             0.92814,             0.98477,             0.97417,             0.56774,            0.030303,            0.015405,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.037586,            0.017301,                   0,             0.90007,             0.96447,             0.95199,             0.48046,            0.032204,            0.015789,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.039318,            0.017216,                   0,             0.94549,             0.96954,             0.97671,             0.48476,            0.036518,            0.015808,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.041213,            0.017601,                   0,             0.97461,             0.97443,              0.9789,             0.59485,            0.028956,            0.015563,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.035014,            0.016773,                   0,             0.96973,              0.9797,              0.9802,             0.60351,            0.028041,            0.015645,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.037306,            0.018322,                   0,             0.95074,             0.97968,             0.97966,             0.51992,            0.030396,             0.01567,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.039121,            0.015772,                   0,             0.96031,             0.98985,             0.98003,             0.57779,            0.030476,             0.01541,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.035982,             0.01687,                   0,             0.98445,             0.96432,             0.97975,             0.60073,            0.026446,            0.015263,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.035914,            0.016354,                   0,             0.97917,             0.95939,             0.97438,             0.53004,            0.027702,            0.015316,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.034442,            0.017079,                   0,             0.96458,             0.96954,             0.97667,             0.46388,            0.028433,            0.015544,                   0,              0.0067,              0.0067,              0.0067
                 102,              0.0329,             0.01498,                   0,             0.97964,              0.9797,             0.98299,             0.60598,            0.025992,             0.01528,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.036022,            0.016535,                   0,             0.97442,             0.97462,             0.98342,             0.53511,             0.02844,            0.015313,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.039989,            0.017498,                   0,             0.94887,             0.94416,             0.93899,             0.35977,            0.035685,             0.01526,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.038643,            0.016182,                   0,             0.96954,             0.96954,             0.97515,             0.59537,            0.028188,            0.015085,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.035575,            0.016738,                   0,             0.97012,             0.98985,             0.98921,             0.47309,            0.038444,            0.015405,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.047333,            0.016596,                   0,             0.95059,              0.9797,             0.97291,             0.39444,            0.036936,            0.015644,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.04012,             0.01548,                   0,             0.98973,              0.9797,             0.98976,             0.56124,            0.029543,            0.015179,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.03373,             0.01699,                   0,             0.98472,             0.98477,             0.98897,              0.5715,            0.026254,            0.015207,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.034857,            0.014436,                   0,             0.96967,             0.97462,             0.98209,              0.5381,            0.028102,             0.01502,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.034932,            0.017326,                   0,               0.975,             0.98985,             0.98867,             0.62851,            0.025572,            0.014862,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.03199,            0.017443,                   0,             0.97982,             0.98985,             0.98857,             0.63898,            0.025062,             0.01479,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.035788,            0.016841,                   0,             0.96531,             0.98985,             0.98711,             0.51352,            0.036008,            0.015555,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.040458,            0.016794,                   0,             0.96993,             0.98477,             0.98552,             0.58166,            0.026157,            0.014999,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.033243,            0.016518,                   0,             0.96992,             0.98477,              0.9844,             0.61047,            0.025049,            0.014898,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.033525,            0.015665,                   0,             0.97976,             0.98477,             0.98458,             0.50754,            0.032653,            0.015371,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.040071,            0.018567,                   0,             0.97474,              0.9797,             0.98085,             0.52991,            0.029813,            0.015143,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.034914,            0.017996,                   0,             0.97967,              0.9797,               0.982,             0.60622,            0.024945,            0.014939,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.032577,            0.017632,                   0,             0.98477,             0.98471,             0.98667,             0.60614,            0.024714,            0.014768,                   0,            0.006106,            0.006106,            0.006106
                 120,             0.03056,            0.015555,                   0,             0.98469,             0.97963,             0.98706,             0.61393,            0.024571,             0.01469,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.032043,            0.017713,                   0,             0.98913,             0.92356,             0.94061,             0.57746,            0.024229,            0.014684,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.030834,            0.016478,                   0,             0.96985,             0.97962,              0.9851,             0.56943,            0.028362,            0.014835,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.041176,            0.015921,                   0,             0.96968,             0.97462,             0.97401,             0.38709,            0.041111,            0.015583,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.044326,            0.016839,                   0,             0.97969,             0.97964,             0.98774,             0.58111,            0.027865,            0.014666,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.033137,            0.015218,                   0,              0.9698,              0.9797,             0.98066,             0.55364,            0.029551,            0.014758,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.03758,            0.014343,                   0,             0.97474,              0.9797,             0.98371,             0.56047,            0.030442,             0.01486,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.037518,            0.016421,                   0,             0.97468,              0.9797,             0.98445,             0.57986,            0.026234,            0.014679,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.032152,             0.01732,                   0,               0.975,             0.98977,             0.99042,               0.605,            0.024664,            0.014593,                   0,            0.005809,            0.005809,            0.005809
